"","-"
"EG.ELC.ACCS.ZS","Access to electricity (% of population)"
"SP.ADO.TFRT","Adolescent fertility rate (births per 1,000 women ages 15-19)"
"SE.ADT.LITR.ZS","Adult literacy rate, population 15+ years, both sexes (%)"
"AG.LND.IRIG.AG.ZS","Agricultural irrigated land (% of total agricultural land)"
"AG.LND.AGRI.ZS","Agricultural land (% of land area)"
"AG.LND.TRAC.ZS","Agricultural machinery, tractors per 100 sq. km of arable land"
"EN.ATM.METH.AG.ZS","Agricultural methane emissions (% of total)"
"EN.ATM.NOXE.AG.ZS","Agricultural nitrous oxide emissions (% of total)"
"EA.PRD.AGRI.KD","Agriculture value added per worker (constant 2005 US$)"
"IS.AIR.DPRT","Air transport, registered carrier departures worldwide"
"EG.USE.COMM.CL.ZS","Alternative and nuclear energy (% of total energy use)"
"ER.H2O.FWAG.ZS","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
"ER.H2O.FWDM.ZS","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
"ER.H2O.FWIN.ZS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
"ER.H2O.FWTL.K3","Annual freshwater withdrawals, total (billion cubic meters)"
"SI.SPR.PC40.ZG","Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
"SI.SPR.PCAP.ZG","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
"AG.LND.ARBL.ZS","Arable land (% of land area)"
"AG.LND.ARBL.HA.PC","Arable land (hectares per person)"
"FB.BNK.CAPA.ZS","Bank capital to assets ratio (%)"
"FB.AST.NPER.ZS","Bank nonperforming loans to total gross loans (%)"
"SP.DYN.CBRT.IN","Birth rate, crude (per 1,000 people)"
"SH.STA.BRTC.ZS","Births attended by skilled health staff (% of total)"
"EN.ATM.CO2E.KT","CO2 emissions (kt)"
"EN.ATM.CO2E.PC","CO2 emissions (metric tons per capita)"
"IQ.CPA.ECON.XQ","CPIA economic management cluster average (1=low to 6=high)"
"IQ.CPA.SOCI.XQ","CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"
"IQ.CPA.PUBS.XQ","CPIA public sector management and institutions cluster average (1=low to 6=high)"
"IQ.CPA.STRC.XQ","CPIA structural policies cluster average (1=low to 6=high)"
"GC.BAL.CASH.GD.ZS","Cash surplus/deficit (% of GDP)"
"SH.DTH.COMM.ZS","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
"SH.DTH.INJR.ZS","Cause of death, by injury (% of total)"
"SH.DTH.NCOM.ZS","Cause of death, by non-communicable diseases (% of total)"
"GC.DOD.TOTL.GD.ZS","Central government debt, total (% of GDP)"
"AG.YLD.CREL.KG","Cereal yield (kg per hectare)"
"BM.GSR.ROYL.CD","Charges for the use of intellectual property, payments (BoP, current US$)"
"BX.GSR.ROYL.CD","Charges for the use of intellectual property, receipts (BoP, current US$)"
"SL.TLF.0714.FE.ZS","Children in employment, female (% of female children ages 7-14)"
"SL.TLF.0714.MA.ZS","Children in employment, male (% of male children ages 7-14)"
"SL.TLF.0714.SW.FE.ZS","Children in employment, study and work, female (% of female children in employment, ages 7-14)"
"SL.TLF.0714.SW.MA.ZS","Children in employment, study and work, male (% of male children in employment, ages 7-14)"
"SL.TLF.0714.ZS","Children in employment, total (% of children ages 7-14)"
"SL.TLF.0714.WK.FE.ZS","Children in employment, work only, female (% of female children in employment, ages 7-14)"
"SL.TLF.0714.WK.MA.ZS","Children in employment, work only, male (% of male children in employment, ages 7-14)"
"FM.AST.CGOV.ZG.M3","Claims on central government (annual growth as % of broad money)"
"FM.AST.DOMO.ZG.M3","Claims on other sectors of the domestic economy (annual growth as % of broad money)"
"EG.USE.CRNW.ZS","Combustible renewables and waste (% of total energy)"
"SP.REG.DTHS.ZS","Completeness of death registration with cause-of-death information (%)"
"IS.SHP.GOOD.TU","Container port traffic (TEU: 20 foot equivalent units)"
"SP.DYN.CONU.ZS","Contraceptive prevalence, any methods (% of women ages 15-49)"
"AG.PRD.CROP.XD","Crop production index (2004-2006 = 100)"
"BN.CAB.XOKA.CD","Current account balance (BoP, current US$)"
"SP.DYN.CDRT.IN","Death rate, crude (per 1,000 people)"
"FR.INR.DPST","Deposit interest rate (%)"
"IC.CRD.INFO.XQ","Depth of credit information index (0=low to 8=high)"
"SH.STA.DIAB.ZS","Diabetes prevalence (% of population ages 20 to 79)"
"IC.EXP.DOCS","Documents to export (number)"
"IC.IMP.DOCS","Documents to import (number)"
"FS.AST.DOMS.GD.ZS","Domestic credit provided by financial sector (% of GDP)"
"FS.AST.PRVT.GD.ZS","Domestic credit to private sector (% of GDP)"
"IC.BUS.EASE.XQ","Ease of doing business index (1=most business-friendly regulations)"
"SE.SEC.PROG.FE.ZS","Effective transition rate from primary to lower secondary general education, female (%)"
"SE.SEC.PROG.MA.ZS","Effective transition rate from primary to lower secondary general education, male (%)"
"EG.USE.ELEC.KH.PC","Electric power consumption (kWh per capita)"
"SL.AGR.EMPL.ZS","Employment in agriculture (% of total employment)"
"SL.AGR.EMPL.FE.ZS","Employment in agriculture, female (% of female employment)"
"SL.AGR.EMPL.MA.ZS","Employment in agriculture, male (% of male employment)"
"SL.IND.EMPL.FE.ZS","Employment in industry, female (% of female employment)"
"SL.IND.EMPL.MA.ZS","Employment in industry, male (% of male employment)"
"SL.SRV.EMPL.FE.ZS","Employment in services, female (% of female employment)"
"SL.SRV.EMPL.MA.ZS","Employment in services, male (% of male employment)"
"SL.EMP.TOTL.SP.ZS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
"EG.IMP.CONS.ZS","Energy imports, net (% of energy use)"
"EG.EGY.PRIM.PP.KD","Energy intensity level of primary energy (MJ/$2011 PPP GDP)"
"EG.USE.PCAP.KG.OE","Energy use (kg of oil equivalent per capita)"
"SE.XPD.TOTL.GB.ZS","Expenditure on education as % of total government expenditure (%)"
"GC.XPN.TOTL.GD.ZS","Expense (% of GDP)"
"TX.VAL.MRCH.XD.WD","Export value index (2000 = 100)"
"TX.QTY.MRCH.XD.WD","Export volume index (2000 = 100)"
"NE.EXP.GNFS.ZS","Exports of goods and services (% of GDP)"
"DT.DOD.DPNG.CD","External debt stocks, private nonguaranteed (PNG) (DOD, current US$)"
"DT.DOD.DPPG.CD","External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)"
"DT.DOD.DSTC.CD","External debt stocks, short-term (DOD, current US$)"
"DT.DOD.DECT.CD","External debt stocks, total (DOD, current US$)"
"SP.DYN.TFRT.IN","Fertility rate, total (births per woman)"
"AG.CON.FERT.ZS","Fertilizer consumption (kilograms per hectare of arable land)"
"IC.FRM.BNKS.ZS","Firms using banks to finance investment (% of firms)"
"IC.FRM.FEMM.ZS","Firms with female top manager (% of firms)"
"EN.FSH.THRD.NO","Fish species, threatened"
"IT.NET.BBND.P2","Fixed broadband subscriptions (per 100 people)"
"AG.PRD.FOOD.XD","Food production index (2004-2006 = 100)"
"BX.KLT.DINV.CD.WD","Foreign direct investment, net inflows (BoP, current US$)"
"AG.LND.FRST.ZS","Forest area (% of land area)"
"AG.LND.FRST.K2","Forest area (sq. km)"
"EG.USE.COMM.FO.ZS","Fossil fuel energy consumption (% of total)"
"NY.GDP.MKTP.CD","GDP at market prices (current US$)"
"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)"
"NY.GDP.PCAP.CD","GDP per capita (current US$)"
"SL.GDP.PCAP.EM.KD","GDP per person employed (constant 2011 PPP $)"
"EG.GDP.PUSE.KO.PP.KD","GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent)"
"ER.BDV.TOTL.XQ","GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum)"
"NY.GNP.PCAP.CD","GNI per capita, Atlas method (current US$)"
"NY.GNP.PCAP.PP.CD","GNI per capita, PPP (current international $)"
"NY.GNP.ATLS.CD","GNI, Atlas method (current US$)"
"NY.GNP.MKTP.PP.CD","GNI, PPP (current international $)"
"SE.XPD.TOTL.GD.ZS","Government expenditure on education as % of GDP (%)"
"SE.XPD.PRIM.PC.ZS","Government expenditure per primary student as % of GDP per capita (%)"
"SE.XPD.SECO.PC.ZS","Government expenditure per secondary student as % of GDP per capita (%)"
"SE.XPD.TERT.PC.ZS","Government expenditure per tertiary student as % of GDP per capita (%)"
"NE.GDI.TOTL.ZS","Gross capital formation (% of GDP)"
"SE.PRM.ENRR","Gross enrollment ratio, primary, both sexes (%)"
"SE.PRE.ENRR","Gross enrolment ratio, pre-primary, both sexes (%)"
"SE.ENR.PRSC.FM.ZS","Gross enrolment ratio, primary and secondary, gender parity index (GPI)"
"SE.ENR.PRIM.FM.ZS","Gross enrolment ratio, primary, gender parity index (GPI)"
"SE.SEC.ENRR","Gross enrolment ratio, secondary, both sexes (%)"
"SE.ENR.SECO.FM.ZS","Gross enrolment ratio, secondary, gender parity index (GPI)"
"SE.TER.ENRR","Gross enrolment ratio, tertiary, both sexes (%)"
"SE.ENR.TERT.FM.ZS","Gross enrolment ratio, tertiary, gender parity index (GPI)"
"SE.PRM.GINT.FE.ZS","Gross intake ratio to Grade 1 of primary education, female (%)"
"SE.PRM.GINT.MA.ZS","Gross intake ratio to Grade 1 of primary education, male (%)"
